,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0,0.519143857626426,0.5512191481376878,0.464652426202013,0.5232492890490559,0.7625356170031448,0.8043347885633557,0.27943862201793995,0.7485747939274446,0.25896724068315646,0
2,0.6608540871032694,0.675358200655483,0.4446371645769891,0.777832552126319,0.4977176635728134,0.4812106550898103,0.640827384877789,0.49398742704407084,0.2810033288392435,0
3,0.6951265317843087,0.6120697087540098,0.49250605558127414,0.6210688670905844,0.6737345087608483,0.35848387390137115,0.728148961588233,0.9138045216223719,0.654492329421449,0
4,0.8172392856794798,0.3985691332122956,0.4008159260357926,0.4261395448400456,0.3167802489903118,0.4364233407596704,0.34507353249989436,0.06797586998328134,0.523010769657974,0
5,0.26480642106490465,0.44484623991748673,0.645274933278707,0.5547755568312546,0.44308849115089105,0.17486151470975192,0.1691622507703161,0.3516346005542085,0.16316861400613783,0
6,0.9954405484557268,0.8283067888781076,0.6452982857763586,0.5507216082095345,0.954540664804964,0.18192204151326943,0.4693495052587848,0.7190279015085511,0.1900684325006893,0
7,0.7453731024664871,0.5414082204313053,0.30305470367481896,0.17053577471844192,0.26466181049865906,0.6054049649931937,0.3899369429816873,0.44916384976860413,0.6005063312891965,0
8,0.519143857626426,0.0,0.31698022135656095,0.5881893329906167,0.0,0.4163858829304446,0.40899714984179675,0.3393944327947842,0.4090151693167617,0
10,0.5445636176578564,0.29859009781957463,0.7293495239306589,0.5555270782548525,0.4426761120871571,0.49624045780854714,0.56943762944015,0.6464601023760451,0.424990332202843,0
11,0.6412326921345022,0.6397898846760638,0.4187177750469761,0.6276473973785817,0.4977176635728134,0.36032836573319027,0.510342929117564,0.618563066302132,0.5079658131809357,0
12,0.5066419156118882,0.2420204374736126,0.4178814834727621,0.047221156094721446,0.10458181937181726,0.32399535512914884,0.5885253044698255,0.6558753819764153,0.3735713607219145,0
13,0.519143857626426,0.2001179818066773,0.6131033771463718,0.4637178835533613,0.2349299506899947,0.39506552269706213,0.7801826904549393,0.6188611367716812,0.6034863533104885,0
14,0.5659155595042054,0.5541357761658485,0.637087875145364,0.2361958069754624,0.4977176635728134,0.5389576236846765,0.43808389912175627,0.5420082053518702,0.6897819876463124,0
15,0.38498660946772684,0.4347047792675994,0.9248454380997483,0.8234116456147501,0.7317747893736787,0.698849117961341,0.3440432951363926,0.6010596151451363,0.5945516329916066,0
16,0.4959277525636899,0.5907401882526404,0.6959366209328796,0.8833568604325959,0.4977176635728134,0.2517565653956003,0.8373364582819093,0.37309157477663085,0.5689248664334257,0
